1,так,так,INTJ,_,_,_,_,_,@ara1999m-words#@ara1999m#66.0#66.33
2,/,/,PUNCT,_,_,_,_,_,@ara1999m-words#@ara1999m#66.33#66.66
3,и,и,CCONJ,_,_,_,_,_,@ara1999m-words#@ara1999m#66.66#66.99
4,чего,что,PRON,_,Case=Gen,_,_,_,@ara1999m-words#@ara1999m#66.99#67.32
5,чего,что,PRON,_,Case=Gen,_,_,_,@ara1999m-words#@ara1999m#67.32#67.925
6,ждём-то,ждать-то,VERB,_,Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,_,_,_,@ara1999m-words#@ara1999m#67.925#68.53
7,у,у,ADP,_,_,_,_,_,@ara1999m-words#@ara1999m#68.53#68.83
8,моря,море,NOUN,_,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,_,_,_,@ara1999m-words#@ara1999m#68.83#69.13
9,погоды,погода,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,_,_,_,@ara1999m-words#@ara1999m#69.13#69.43
10,и,и,CCONJ,_,_,_,_,_,@ara1999m-words#@ara1999m#78.79#79.081
11,чего,что,PRON,_,Case=Gen,_,_,_,@ara1999m-words#@ara1999m#79.081#79.372
12,ты,ты,PRON,_,Case=Nom|Number=Sing|Person=2,_,_,_,@ara1999m-words#@ara1999m#79.372#79.663
13,мне,я,PRON,_,Case=Dat|Number=Sing|Person=1,_,_,_,@ara1999m-words#@ara1999m#79.663#79.954
14,этим,этот,DET,_,Case=Dat|Number=Plur,_,_,_,@ara1999m-words#@ara1999m#79.954#80.245
15,[нрзб],[нрзб],X,_,_,_,_,_,@ara1999m-words#@ara1999m#80.245#80.54
16,ага,ага,INTJ,_,_,_,_,_,@ara1999m-words#@ara1999m#83.4#84.11
17,ну,ну,PART,_,_,_,_,_,@ara1999m-words#@ara1999m#84.12#84.84
18,ходи,ходить,VERB,_,Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,_,_,_,@ara1999m-words#@ara1999m#90.45#91.1
19,ходи,ходить,VERB,_,Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,_,_,_,@ara1999m-words#@ara1999m#91.1#91.75
20,клади,кладь,VERB,_,Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,_,_,_,@ara1999m-words#@ara1999m#91.75#92.4
21,аа-ай,аа-ай,INTJ,_,_,_,_,_,@ara1999m-words#@ara1999m#95.08#95.74
22,ну,ну,PART,_,_,_,_,_,@ara1999m-words#@ara1999m#97.96#98.292
